type,char,group,def,pinyin
嚴式,,官,踢，打,柳州=tɐu
嚴式,,官,①響；②響亮；③叫喊,成都=ŋaŋ˥;四川=ngAng˩;武漢=ŋaŋ˥
嚴式,啱,"官,閩,客,粵,平",①合適，正確；②適合；③巧，恰巧；④投契，合得來，好,柳州=ŋã˦;海口=ŋam˥;雷州=ŋam˥;北流=ŋam˦;容縣=ŋam˧;博白=ŋam˦;廣州=ŋam˥˧;東莞=ŋaŋ˨˩˧;南寧=ŋam˥
嚴式,𫪦,閩,嗩吶：～咑,福州=ti˥
嚴式,啝,粵,表示反詰語氣：你就想啦，樣樣都聽你講～,東莞=vɔ˩˧
嚴式,啲,"閩,粵,平",“第一”的合音，表示少量，相當於“些、點”,建甌=ti˨˦;廣州=ti˥;東莞=ti˨˩˧꜒;南寧=ti˥
嚴式,𭈒,官,量詞。相當於掛、串、嘟嚕,柳州=poŋ˨˦
嚴式,𠶧,粵,妥當；妥善；（弄）好,東莞=tin˨˩
嚴式,啵,湘,①“不囉”的合音：你去～？②吻,長沙=•po;新化=po˨˦
嚴式,,閩,戲弄,雷州=sau˥
嚴式,㟤,"閩,平",①地名用字；②山谷，兩山之間低凹而狹窄的地方,雷州=lɔk˩;南寧=løk˨˦
嚴式,,閩,捕魚簍子,雷州=k ̕a˥
嚴式,㑲,湘,他～：復數第三人稱代詞“他們”,婁底=nã˩˧;韶山=nan˧
嚴式,,晉,～：形容性格乖張，喜触怒，违拗他人,神木=ʦɿ˥˧
嚴式,脷,"官,粵,平",①舌頭；②中式對襟衣扣紐處縫接的一條布,四川=ni;柳州=li˨˦;廣州=lei˨;東莞=ŋɐi˧˨;南寧=li˨
嚴式,㤻,吳,中等人物或事物：～畽,溫州=laŋ˨˦
嚴式,,閩,冷,雷州=kaŋ˧˩
嚴式,㾔,吳,癤癰出膿,上海=ʦɿ˥˧
嚴式,,吳,浸，沒,上海=p ̕ɔ;無錫=p ̕ɐ˦˨˦，p ̕æ˦˩˨，p ̕ɔ˦˨˦
嚴式,淰,粵,（墨水）在紙上洇開,廣州=nɐm˨;東莞=nam˨˧
嚴式,,贛,1 （雞）嗦子,南昌=kie˦˨
嚴式,,吳,2 擁有,寧波=ke˥˧，ki˥˧
嚴式,焋,吴,做飯菜的专用字：～午飯｜～菜（燒菜）｜～酒（置办酒席）,湯溪=ʨyɑo˦
嚴式,𭒅,平,～～：媽媽,寧遠=ie˧
嚴式,,官,躥，向上生長。多用作人名,柳州=cuàn
嚴式,奣,吳,天清無雲或水清見底,溫州=uiɛ˧
嚴式,䞞,閩,疾走,福州=houʔ˨˦
嚴式,揋,客,～石頭：扔石頭,梅縣=voi˩
嚴式,,官,扒拉，翻找：雞～食,成都=xa˥
嚴式,搰,官,打栗鑿,柳州=kuaʔ˥
嚴式,葽,官,～子：用稻草、蒲草等搓成的繩子,銀川=iɔ˩˧
嚴式,,平,糞：大～,寧遠=væ
嚴式,睐,客,斜視,梅縣=lai˧˩
嚴式,,吳,眵目糊,溫州=uɔ˧
嚴式,,客,一環扣一環,梅縣=kap˥
嚴式,喖,吳,喉嚨,上海=ɦu˨˧;無錫=ɦu˨˦
嚴式,,徽, 小孩稱狗,績溪=nɵ˧˥
嚴式,,吳,鉤：固定破裂陶瓷器的鉤子,上海=tᴀʔ˥
嚴式,,官,巴結，討好,成都=pei˥˧
嚴式,㗑,湘,“不唻”的合音：你來～？,長沙=•pai
嚴式,喺,粵,①在；②介詞。從,廣州=hɐi˧˥
嚴式,喼,"閩,粵",①急促聲音；②～汁：一種調味醬液，用西紅柿、醬油等配成；③用藤、皮革等製成的手提箱,海口=kip˥;廣州=kip˥;東莞=kit˦
嚴式,嘅,"粵,平",相當於“的”：呢枝筆係我～,廣州=kɛ˧;東莞=kɔ˧˨;南寧=ke˥
嚴式,𪡷,粵,氣味：一陳～,廣州=ʦ̕øy˨˩
嚴式,,粵,唔～耕：不相干；不着邊際,東莞=ŋa˨˩˧
嚴式,㗎,粵,助詞。相當於北京話句末的“的”：係唔係真～？,東莞=ka˨˩
嚴式,嵅,官,四周有石山的平地。多用於地名,柳州=hán
嚴式,毴,官,①女陰；②用在動詞、形容詞後面，表示厭惡,西安=p̕i˨˩
嚴式,,閩,“地方”的合音,建甌=tiɔŋ˧
嚴式,,官,～子：傻子；蠢貨,柳州=k ̕æ
嚴式,𠌥,粵,弯腰,廣州=wu˧
嚴式,,粵,手～：手上長的趼子,廣州=ʦɐm˧˥
嚴式,,吳,猴子,上海=ɦuəʔ˥;杭州=ɦuoʔ˨
嚴式,,官,小米粒大小的玉米碎粒,哈爾濱=ge˧
嚴式,煀,"閩,粵",一種烹調法,福州=k ̕ouʔ˨˦;廣州=uɐt˥
嚴式,,吳,①排泄；②腹瀉；③量詞。用於糞尿,寧波=ʣa˨˩˧
嚴式,㜃,贛,～仔仂：女孩子,余干=nən˦
嚴式,𡟓,"客,湘,平",母親,梅縣=oi˦;長汀=ue˩;長沙=ŋai˧;衡阳=ai˦;東安=ŋa˧
嚴式,,吳,①變顏色；褪色；②壞變,杭州=fɛ̃˥;上海=fᴇ;寧波=fɛ̃˦
嚴式,䋫,官,綫的單股搓繞,南通=ʨyɛ̃˦˨
嚴式,,官,①較平緩的山崗；丘陵；②坡；③地名常用字，多用做山地、丘陵地帶的村莊名,牟平=ɕ iɑŋ˨˩˧
嚴式,,贛,不明亮：～黑箇房,瀏陽=mie˦
嚴式,蓊,平,～菜：一种蔬菜名,江永=ai˨˩
嚴式,榃,粵,①坑，水塘；②地名常用字,廣州=tam˧˩
嚴式,,閩,樹的根部,建甌=ne˧˩
